undefinedDate,Fermenter Sample ID,Fermenter Sample %Solids,Fermenter Sample HPLC Ethanol
2011-11-04 00:00:00,10H,29.33,2.27
2011-11-04 08:00:00,18H,21.71,6.84
2011-11-04 22:00:00,32H,14.68,11.94
2011-11-05 11:00:00,45H,12.08,13.68
2012-01-01 09:30:00,Fill,33.35,0.21
2012-01-01 19:31:00,10H,30.63,1.93
2012-01-01 23:10:00,Fill,32.91,0.23
2012-01-01 23:20:00,YP Drop,21.88,1.76
2012-01-02 03:31:00,18H,24.15,6.34
2012-01-02 09:10:00,10H,30.74,1.87
2012-01-02 12:55:00,Fill,33.18,0.2
2012-01-02 17:10:00,18H,24.08,6.44
2012-01-02 17:31:00,32H,15.57,11.28
2012-01-02 22:45:00,10H,29.43,2.24
2012-01-03 02:30:00,YP Drop,20.95,1.75
2012-01-03 02:50:00,Fill,33.37,0.18
2012-01-03 06:31:00,45H,11.87,13.58
2012-01-03 06:45:00,18H,21.57,6.54
2012-01-03 07:10:00,32H,17.19,11.02
2012-01-03 12:15:00,DROP,12.51,13.71
2012-01-03 12:20:00,10H,29.56,2.07
2012-01-03 16:10:00,Fill,35.52,0.18
2012-01-03 16:20:00,YP Drop,22.4,1.48
2012-01-03 20:10:00,45H,12.81,13.17
2012-01-03 20:20:00,18H,23.65,6.4
2012-01-03 20:45:00,32H,15.81,11.44
2012-01-03 22:00:00,BW,0,13.57
2012-01-04 01:50:00,DROP,12.99,13.67
2012-01-04 05:45:00,Fill,33.37,0.2
2012-01-04 09:45:00,45H,11.51,13.55
2012-01-04 10:20:00,32H,15.81,11.13
2012-01-04 11:00:00,BW,0,13.62
2012-01-04 15:35:00,10H,29.68,1.97
2012-01-04 15:40:00,DROP,12.29,13.72
2012-01-04 19:21:00,Fill,33.13,0.18
2012-01-04 23:20:00,45H,13.18,13.33
2012-01-04 23:35:00,18H,22.43,6.56
2012-01-05 01:00:00,BW,0,13.66
2012-01-05 04:40:00,BW,0,0
2012-01-05 04:55:00,DROP,12.07,13.62
2012-01-05 05:13:00,10H,29.6,2.29
2012-01-05 08:45:00,Fill,33.27,0.22
2012-01-05 13:13:00,18H,23.25,6.72
2012-01-05 13:35:00,32H,14.86,11.47
2012-01-05 18:55:00,10H,29.22,2.63
2012-01-05 19:10:00,DROP,11.13,13.67
2012-01-05 23:00:00,Fill,32.91,0.2
2012-01-06 02:35:00,45H,11.92,13.46
2012-01-06 02:55:00,18H,23.02,6.83
2012-01-06 03:13:00,32H,15.45,11.72
2012-01-06 04:45:00,BW,0,13.47
2012-01-06 08:30:00,DROP,11.2,13.54
2012-01-06 08:32:00,10H,30.18,2.02
2012-01-06 12:15:00,Fill,32.29,0.18
2012-01-06 12:25:00,YP Drop,22.15,1.83
2012-01-06 16:13:00,45H,12.35,13.73
2012-01-06 16:32:00,18H,22.73,6.65
2012-01-06 16:55:00,32H,15.1,11.6
2012-01-06 18:30:00,BW,0,13.24
2012-01-06 22:15:00,10H,29.36,2.09
2012-01-06 22:35:00,DROP,11.8,13.73
2012-01-07 02:10:00,Fill,33.08,0.21
2012-01-07 05:55:00,45H,12.14,13.43
2012-01-07 06:15:00,18H,23.07,6.94
2012-01-07 06:32:00,32H,14.92,11.53
2012-01-07 07:55:00,BW,0,13.47
2012-01-07 12:00:00,10H,29.93,2.49
2012-01-07 15:40:00,Fill,32.93,0.2
2012-01-07 16:05:00,YP Drop,22.09,1.47
2012-01-07 19:32:00,45H,12.34,13.53
2012-01-07 20:00:00,18H,23.71,6.66
